clone	slug	release_tag	asset_name	asset_size	asset_url
idlesauce__ps4-eboot-dlc-patcher	idlesauce/ps4-eboot-dlc-patcher	v1.0.1	ps4-eboot-dlc-patcher-framework-dependent.zip\t930006\thttps://github.com/idlesauce/ps4-eboot-dlc-patcher/releases/download/v1.0.1/ps4-eboot-dlc-patcher-framework-dependent.zip	ps4-eboot-dlc-patcher-linux-arm64\t7732472\thttps://github.com/idlesauce/ps4-eboot-dlc-patcher/releases/download/v1.0.1/ps4-eboot-dlc-patcher-linux-arm64	ps4-eboot-dlc-patcher-linux-x64\t7423464\thttps://github.com/idlesauce/ps4-eboot-dlc-patcher/releases/download/v1.0.1/ps4-eboot-dlc-patcher-linux-x64	ps4-eboot-dlc-patcher-win-arm64.exe\t6603776\thttps://github.com/idlesauce/ps4-eboot-dlc-patcher/releases/download/v1.0.1/ps4-eboot-dlc-patcher-win-arm64.exe	ps4-eboot-dlc-patcher-win-x64.exe\t6368768\thttps://github.com/idlesauce/ps4-eboot-dlc-patcher/releases/download/v1.0.1/ps4-eboot-dlc-patcher-win-x64.exe
idlesauce__ps4-eboot-dlc-patcher	idlesauce/ps4-eboot-dlc-patcher	v1.0.0	ps4-eboot-dlc-patcher-framework-dependent.zip\t930009\thttps://github.com/idlesauce/ps4-eboot-dlc-patcher/releases/download/v1.0.0/ps4-eboot-dlc-patcher-framework-dependent.zip	ps4-eboot-dlc-patcher-linux-arm64\t7732472\thttps://github.com/idlesauce/ps4-eboot-dlc-patcher/releases/download/v1.0.0/ps4-eboot-dlc-patcher-linux-arm64	ps4-eboot-dlc-patcher-linux-x64\t7423464\thttps://github.com/idlesauce/ps4-eboot-dlc-patcher/releases/download/v1.0.0/ps4-eboot-dlc-patcher-linux-x64	ps4-eboot-dlc-patcher-win-arm64.exe\t6603776\thttps://github.com/idlesauce/ps4-eboot-dlc-patcher/releases/download/v1.0.0/ps4-eboot-dlc-patcher-win-arm64.exe	ps4-eboot-dlc-patcher-win-x64.exe\t6368768\thttps://github.com/idlesauce/ps4-eboot-dlc-patcher/releases/download/v1.0.0/ps4-eboot-dlc-patcher-win-x64.exe
kimariin__BlueLoader	kimariin/BlueLoader	v0.6	blueloader.iso\t16777216\thttps://github.com/kimariin/BlueLoader/releases/download/v0.6/blueloader.iso	fsdump.jar\t2916\thttps://github.com/kimariin/BlueLoader/releases/download/v0.6/fsdump.jar	lapse.jar\t78905\thttps://github.com/kimariin/BlueLoader/releases/download/v0.6/lapse.jar
kimariin__BlueLoader	kimariin/BlueLoader	v0.5	blueloader.iso\t16777216\thttps://github.com/kimariin/BlueLoader/releases/download/v0.5/blueloader.iso	fsdump.jar\t2916\thttps://github.com/kimariin/BlueLoader/releases/download/v0.5/fsdump.jar	lapse.jar\t63871\thttps://github.com/kimariin/BlueLoader/releases/download/v0.5/lapse.jar
kimariin__BlueLoader	kimariin/BlueLoader	v0.4	blueloader.iso\t16777216\thttps://github.com/kimariin/BlueLoader/releases/download/v0.4/blueloader.iso	fsdump.jar\t2916\thttps://github.com/kimariin/BlueLoader/releases/download/v0.4/fsdump.jar	lapse.jar\t63873\thttps://github.com/kimariin/BlueLoader/releases/download/v0.4/lapse.jar
kimariin__BlueLoader	kimariin/BlueLoader	v0.3	blueloader.iso\t16777216\thttps://github.com/kimariin/BlueLoader/releases/download/v0.3/blueloader.iso	fsdump.jar\t2942\thttps://github.com/kimariin/BlueLoader/releases/download/v0.3/fsdump.jar	lapse.jar\t60710\thttps://github.com/kimariin/BlueLoader/releases/download/v0.3/lapse.jar
kimariin__BlueLoader	kimariin/BlueLoader	v0.2	blueloader.iso\t16777216\thttps://github.com/kimariin/BlueLoader/releases/download/v0.2/blueloader.iso	fsdump.jar\t2942\thttps://github.com/kimariin/BlueLoader/releases/download/v0.2/fsdump.jar	lapse.jar\t62473\thttps://github.com/kimariin/BlueLoader/releases/download/v0.2/lapse.jar
kimariin__BlueLoader	kimariin/BlueLoader	v0.1	blueloader.iso\t16777216\thttps://github.com/kimariin/BlueLoader/releases/download/v0.1/blueloader.iso	payload.jar\t34255\thttps://github.com/kimariin/BlueLoader/releases/download/v0.1/payload.jar	
ps4-linux__ps4-linux-loader	ps4-linux/ps4-linux-loader	v25	PS4-Linux-Loader-v25.zip\t344640\thttps://github.com/ps4-linux/ps4-linux-loader/releases/download/v25/PS4-Linux-Loader-v25.zip		
ps4-linux__ps4-linux-loader	ps4-linux/ps4-linux-loader	v24b.1	PS4-Linux-Payloads-v24b.1.zip\t342205\thttps://github.com/ps4-linux/ps4-linux-loader/releases/download/v24b.1/PS4-Linux-Payloads-v24b.1.zip		
